tweet,class
#رايف_العتيبي هم لفاني ياسعد حزة عصير من بين خلق الله قلبي سطابه حتى بحياتي ياسعد عرقل السير اصبحت كني ميت من عذابه #عبدالمجيد العنزي,neu
' بضايق من طريقتي دي لأنها بتوترني و بتاخد مساحة كبيرة من تفكيري ',neg
تريكه معانا كل رمز حلو فى مصر من شعبنا وشعبهم بيادة وطرطور وبلاوى ومطرب ورقاصة,neu
' إنك لن تبلغ من الدين شيئاً حتى توقر جميع الخلائق ولا تحتقر احداً .. فإن الله حين خلقه لم يحتقره ..  محى الدين بن عربى ',neu
' سبحان الله وبحمده عددخلقه ورضا نفسه وزنة عرشة ومداد كلماته ',neu
2002 فيلم جامد جدي فعلاً,pos
اذن فلتحرقنا الحرب جميعا حظ سعيد في محاولة ابادة او اخضاع مئات الالاف,neu
وكامل الاحترام لـ #عباس اللي مسك لسانه وما شتمش,pos
حاجات_بتفرح_في_مصر اللمه الحلوه مع اصحابي,pos
' @Dinaelhamaqy  كل واحد غنى اغنيه وهى ما غنتش اغنيتها بس طبعا كانت كيوت هى ومينا وشيرين بس الحقينى بالينك تاهه منى #DoaaElSebaii دعاء السباعي ',pos
#وائل_جمعة صخرة الدفاع المصرية,pos
الرجوع للحق فضيلة حمد الله على سلامة أحمد السيد النجار,pos
' وأخيرا عندى درس واحد .....اينعم هو عربى بس مش مشكلة ',pos
' @ameerakitty @walidasamra أما نظم العدالة الإجتماعية فتبعث على الإطمئنان والفضيلة .. يعني كل المشاكل الموجودة الان لم تكن موجودة أيام ناصر ',pos
"' """"""الفراشات لا تعرف ألوان أجنحتها ولكن أعين البشر تعرف مدى روعتها، أنت لا تعرف مدى روعتك، ولكن هناك من البشر من يعرف مدى أهميتك وروعتك!"""""""" '",pos
التحريض و خطاب الكراهية و المتاجرة بالدين ليست حرية رأي بل جريمة يدفع الوطن ثمنها في الشارع الآن هذه قنوات فتنة و ليست دينية,neg
الفلول والثوار يقولون الان نفس الكلام لكن يجب الا يختلط الامرالثوار ضد الاخوان من اجل الثورة والفلول ضد الاخوان من اجل السلطة لا يلتقيان,neu
ما نحن فيه الان هو كله بفضل الشهداء و مصابي الثوره لذلك لابد من تاسيس هيئه تكون مهمتها تكريم اصحاب الفضل فيما نحن فيه الان,pos
جعل الغياب اللي خذاك يموت ويحيا بداخلك وصل غاليك #يوسف #بوح,neu
' الاسبوع هادا كل ما افكر كيف بدو يمرق برج راسي انو احاول انسى وبرجع بفكر مش هييييك ! ',neg
' @YoussefAKhalek  صباح النور ^_^ ',pos
' اللهم اني اسالك موجبات رحمتك وعزائم مغفرتك ',neu
' @Monasufian انا عن نفسي نصوت ',neu
في #تركيا تعمل الدولة جاهده لتفريغ 300 الف عالم للبحث العلمي للوصول الى عام 2023 وبإشراف مباشر من #اردوغان دققوا التصن…,neu
قبضت كام من ساويرس كله في ال #فسسسسسس,neg
لم أتحدث مع ال خلال الأيام الماضية على الإطلاق والخبر المتداول على بعض المواقع والمنسوب إلي بشأن تطورات الأحداث في مصر كاذب ومفبرك,neg
الأسواني: أتوجه الى أصدقائى في جبهة الانقاذ بسؤال واحد:هل نريد الدولة الديمقراطية التى قامت من أجلها الثورة أم نريد,neu
"' """"""الاول كنت بقول دا رأي واحد او اتنين بس الموضوع زاد وكله بيهري، ماتش ودي الاغبياء بقوا ياخدوه مقياس لمستوي الفرق، الأغلبية بقت انجي اسماعيل!"""""""" '",neg
' آذان العصر ',neu
"' ""I\""""m at Kuwait Embassy   سفارة الكويت https://t.co/QdOnwGzNPM '",neu
أرى أن النظام المختلط بين النظام البرلماني والنظام الرئاسي هو الانسب لنا هذه الفترة التى تتوزع فيه السلطة,pos
"الانقلاب يجمع عددا من الفاسدين ليقدمهم لاشتون على انهم المفاوضون من جماعة الاخوان, فضائحهم لم ولن تنتهى",neg
إنتا فرحة جات لِ عندي بعد دنيا من التعب السعادة إللي بعشها يَ حبيبي إنتا السبب ضحگتك عقلك جنونك والحنان إللي في عيونك #شير…,pos
زول فى الشارع للبنت و كمية شده الاعصاب اللى بتقابلها يجيب الف مشكلة نفسيه فى حد ذاته ! #مصر #تحرش,neg
' @AleyKhSoliman هاهاها يا عم ماشى دول 15 قرش ',neu
' اجمل نساء الدنيا  الزوجة الصالحة ',pos
#هتحبك_لو تحاول تقنعها باللى انت عايزه بهدوء مش زعيق وخلاص ;),pos
' @GonasAli عيال متعرفش مصلحتها فين ',neg
"رفض الدستور الباطل سيستمر بالاحتشاد في الميادين والتصويت بلا في الاستفتاء والمقاطعة، الدستور باطل واستفتاء ""المرحلتين"" تغيب عنه شروط النزاهة",neg
انا #مسلم وبفتخر,pos
' (حَافِظُوا عَلَى الصَّلَوَاتِ وَالصَّلَاةِ الْوُسْطَىٰ وَقُومُوا لِلَّهِ قَانِتِينَ) [سورة البقرة : 238] ',neu
الاعتداء على الثوار غير مقبول ويعبر عن سياسات تنتمى للعهد البائد نطلب محاسبة المسئولين عن جريمة أمس وسرعة الاستجابة لمطالب الثورة,neu
' @Say3d_Sal3m اجدع حاجه ',pos
سيصبح 6 أكتوبر يوما للعار وليس لذكري الإنتصار #كلام_و_كلام #يوسف_الحسيني #السادة_المحترمون …,neg
' @ahmed_mefreh  قناه  مكملين  عرضت التسريب ',neu
تهميش المثقفين والنساء والشباب والمجتمع المدني بتشكيل التأسيسية وتغليب الحسابات الضيقة لبعض الأحزاب المدنية لا يمكن أن يقبله الرأي العام,neg
' اول تغريده في عام2015 http://t.co/lr13J3ataM ',neu
"نحن بحاجة إلى وسطية في المعاملات واعتدال في المواقف و الا تعرضنا لعوامل هدم المجتمعات الكبرى"" #مصر #تونس #لبنان #الإمارات #فلسطين",neu
' @abou_esmail ويعزك يااسماعيل   ربنا معاك ويوفقك :-) ',pos
"' """"""الحنية طب فين هي ابكي يا قلبي علي الحنية، هي الدنيا جرا فيها ايه، حتي الناس صبحت مش هي."""""""" '",neu
1 هي إنسانة رائعة :),pos
حتى الاراجوز مالوش مكان فى اعلام العار مطلوب قطيع يكرر ما يسمع ويتملي,neg
' - أنا :- خلاص قررت أذاكر بجد. = الشيطان :- .................... http://t.co/AO9G4ivBkX ',pos
' #تسريب_الشرق_لمكتب_السيسي عجبتني جملة معتز مطر لما قال: النهاردة مجرد بداية لسلسلة تسريبات لسه هتتذاع دي كفيلة لوحدها انهم يسربوا لاإراديا ',neu
' @batota305 مش عارف بصراحه انا مجربتش ',neu
' ان اللبيب من الإشارة يفهم http://t.co/ettXB5YyHh ',neu
نرفض التدخل في تشكيل الحكومة الجديدة من أي جهة أو حزب ونرفض أي شكل من أشكال الضغط على قرارت عصام شرف,neg
' @sallams7 مرحباااااااا. ',pos
ازاي البرادعي يقول ان الهولوكوست مأساة انسانية و ان بوذا ممكن يكون نبي و ان السلفيين متطرفين و يطالب بعودة اليهودايه؟ده عصام العريان؟,neg
#انتخبوا_البرص,neg
' أنا مكرهش في حياتي قد اللي بيفكر نفسه فاهم كل حاجة و فاكر اني عبيطة و مش فاهمة أحب أقولهم انتوا اللي عبط لامؤخذة و شكرا ',neg
علاقتي #بالمذاكرة زي علاقتي #بالكيس الشيبسي #الجامبو #افتح : #اقفل : كل #مرة زي #اول_مرة = = #بطوطة,neu
مبادره دستورهم باطل لتعريف الشارع بالمساوئ الاقتصاديه و الاجتماعيه للدستور ببساطة،ريتويت بقا 3 مرات قبل الأ,neg
يارب اجعلها لليلةة فرح لعشاق العالمي بالتوفيق ي نصرنا #النصر_الشباب,pos
"ندوة توقيع رواية ""نادي السيارات"" الليلة السبت السابعة مساءً بفرع مكتبة ""أ"" - داندي مول >> التفاصيل :",neg
الاشتراك في الاستفتاء البائس اعتراف بشرعيته كل ما فعله مرسي باطل وغير شرعي ولا استبعد على الاخوان تزوير النتائج أنا مع المقاطعة الشاملة,neg
لسان العرب بين الألسنة كزمن الربيع بين الأزمنة #اليوم_العالمي_للغة_العربية,pos
عندما تقرأ أن السعودية والامارات والكويت والاردن تؤيد التحول الديمقراطى فى مصر بعد الانقلاب تموت من الضحك 4 دول,neu
' @Kbkb66 انا حاضر لعينيك http://t.co/EsloAwQcvC ',pos
"#خالد_علي: رفع أسعار #الغاز ""إجرام سياسي""",neg
أهي صهيونية وتدعم #حماس وتُعمّر #غزة بذات الوقت؟ أتريد تدمير الأمة فتقف ضد الانقلاب على من احتفلت #اسرائيل بعزله؟ أكل ت…,neg
' اصعب قرار فى المذاكره انك تفتح الكتاب ...بقالى يومين بحاول افتحه بس ف حاجه تحصل فى النص ',neu
رجل أكرمه الله بمصاهرة أكرم خلقه مرتين زهد في أمواله وتجارته طمعاً في مرضاة الله كانت الملائكة تستحي منه #عثمان_بن_عفان رضي الله عنه,pos
الساكت عن الحق جبان ! لا مال و لا شئء ينفع فى الآخرفمن يقف على الحياد بين الحق و الباطل فهو مع الباطل بالتأكيد,neg
يوم 7/7، يوم هام في مشروع (العلم قوة) وهدفه جذب وتسكين 100 ألف أمي داخل الفصول، في يوم واحد، عن طريق 10 ألاف,pos
#الداخلية_بلطجية واقعة الاعتداء على الزميلة م/ #داليا_رضوان,neg
_ البراءة من قتل المتظاهرين كانت 15 أبريل 2013 علشان معلوماتك تبقى صح يعني في عقر حكم الإخوان ولم يستأنف قبل ال60 يوم,neu
#الحقيقة_مباشر_مصر|#انقلاب_3يوليو السيسى المتخابر لخطف أول رئيس منتخب يستعين بحلفائه لدعمه بالسلاح للتصدى للإسلاميين,pos
أنا ضد التمويل الاجنبي تماماً الغريب ان ينتسب البعض الى الاسلام ويستغلون فقر الناس ويشترون اصواتهم ثم يتبارون في البذاءة اى اسلام هذا,neu
' الحريم كائنات نكدية بالفطرة ..وبيجيبوا الغم لنفسهم ',neg
' قالوا عنك كلام .. بس انا فضلت على انطباعى بردوا و انا طلعت صح فالاخر   -واحده ف الفوللورز ^^ ',pos
فعاليات توزيع البورشور أمام المساجد و التوقيعات كانت رائعة و التجاوب كان استثنائيا سيتم رفع الصور بعد قليل,pos
' #حاجة_بستفز_منها  الناس-اللى-بتقول-كلام-وهما-مش-قده ',neg
ﺍﻟﺠﻴﻮﺵ ﺍﻟﻌﺮﺑﻴﺔ ﺃﻛﺬﻭﺑﺔ ﻛﺒﻴﺮﺓ ﻓﻘﺪ ﻛﺎﻧﺖ ﺃﻭﻝ ﺣﺮﺏ ﺧﺎﺿﻬﺎ ﺍﻟﺠﻨﺮﺍﻝ العسكري الكبير عبدالفتاح ﺍﻟﺴﻴﺴﻲ ﻓﻲ ﺣﻴﺎﺗﻪ ﻫﻲ ﺣﺮﺏ ﺭﺍﺑﻌﺔ ﺍﻟﻌﺪوية,neg
"أحسن حاجة في أغنية #السكة_شمال هيا ""ايه ايه ايه ايه "" اللي أمير بيقولها قبل ما بيغني علي طول !",pos
أكبر خسارة خسرناها في ظل نظام مبارك هي الثروة البشرية,neg
كتر خيرهم فعلا بيصلحوا غلطة مش بتاعتهم,pos
مترو موسكو، أو قصر تحت الأرض كما يوصف أحيانًا بسبب فخامة تصميمه الكلاسيكي،، #عمارة #روسيا #تصميم #تصميم_داخلي #مترو …,neg
' @3bb068e74652436 ماهو اصل اي واحد هايدخل الهاشتاج هايعرف انه مش ترند!.. دا بوست متكرر مافيهوش تفاعل يعني ولا ناس بتكتب.. ',neu
' @hhe600 اومال يابنتى احنا نواينا صادقه  بس حلو الهاشتجين دول عجبنى #كنزه_حبيبه_المصريين #ليث_المصري_السادس ',pos
إحنا عندنا ثقافة اعتياد للقبح، ثقافة اعتياد للقذارة، آردوغان قدر انه يبدأ نهضته بالنظافة، شيراك لما كان عمدة…,neg
"' ""#المصدر  \""""#المالية \"""" تبحث إتفاق توأمة بين \""""#الضرائب_المصرية\"""" ونظيرتها الصومالية  للمزيد :http://t.co/1zik5FJxOb http://t.co/tIUIWS1A5d '",neu
الفرق بين مليونية اليوم ومليونية غيرها ، إن المحلات كانت فاتحة وبتبيع وتكسب فى محيط رابعة العدوية ، بخلاف المحلات,neu
الانقسام بين القوى الوطنية طبيعي ولكنه حدث قبل إنجاز اهداف الثورة فاستفاد منه النظام القديم يجب ان نضع الثورة قبل المصلحة السياسية,neu
الى الشيخ احمد الطيب انا مسلم سنى وانت لا تمثلنى احترم الازهر لكننى احتقرك جدا,neu
' @Golden_Knight14 @aya_elmshnb اه اهلاوى الى ش يعرفة ',neu
د أبو الفتوح: الحكومة الإسرائيلية تطيل أمد الصراع مع الفلسطينيين لأنه لا يمكنهم الاستمرار و التماسك بدون هذا,neg
"انا لست روميو""?يرونا""اقف مشدوها عاجزا و انت تطلين علي من شرفة،انا أحبك و لن اذهب،انا أحبك و سأمد يدي اتلمسك لنبقى فلقد خلقنا لأحبك #مصر",pos
78 ثورة طبعاً وسيبك من كذب الإخوان والفلول,neg
' الناس الى روحنا تشبه روحهم &lt;3 ',pos
نادر بكار بلاش أحسن اللهم أنى طاهر,neu
الدماء التى أريقت في مجزرة ارتكبتها الدولة بماسبيرو لايمكن ان تضيع دون حساب واجب الرئيس أن ينفذ وعده بمحاكمة كل من تورط في قتل ابنائنا,neg
هد دايرة و بنلف فيها ، الداخلية مش عايزة بقي في اولتراس فاخترعت مذبخة بورسعيد فالناس تموت فالجمهور يتمنع من الماتشات #الكورة_للجماهير,neg
تحية تقدير وإعزاز لذلك العبقري الذي اخترع الجبنة الرومي الفكرة جت في دماغه إزاي؟,pos
' @lili2235623891 احبك وانت كده ',pos
' انا اقدم عاصمه للحزن ',neg
' @samar_meroo19 بونجوووغ مادموزيل ',pos
"' """"""من اعتاد ان يوزع الورد، سيبقى شيئ من العطر بيده"""""""" '",pos
#خلق_جميل إنك تحسن معاملت من اساء اليك,pos
الرئيس مرسي المسئول الاول عن حقوق المصريين وكرامتهم اما ان يوقف الرئيس الخطف والضرب والتعذيب والمحاكمات العسكرية للمدنيين واما ان يرحل,neu
اطاح الاستفتاء بمبدأ تكافؤ الفرص حينما لم يسمح بالتصويت لكل المقيمين بالخارج الا من قام بالتسجيل في الانتخابات,neu
' #اسامه_فقيه  الله يوفقك ويرزقك من حيث لا تحتسب   #ZDRSEDK4 ',pos
' خايف لاتكوني مش بتاعتي ',neg
مساعدة المحتاجين #خلق_جميل,pos
' اللهم أمسينا علي رحماتك فأتمم لنا غفرانك http://t.co/Q4fh87ZFzw ',pos
' @a7md_aldhfeeri سعيد لا دفاع ولا هجوم بس اوت تكملة عدد للفريق ',neg
' تويتر و سناب و فايبير مرض جديات قعد معش تقدر تقعد بلاهن ',neg
مجانية التعليم حق لكل مواطن,pos
' @nevinegindy هيفضلوا يهروا ويولولوا ويمئمؤا إحنا ماشين ف طريقنا وهننجح بإذن الله الانكلاب يترنح ',neg
الديمقراطية هي السبيل الوحيد للانتقال من النظام الحالي الذي يقمع الحريات الي نظام يحمي حرية الشعب ويصون كرامته قد حان وقت التغيير,neu
' مدري لمن اشكي عذابيوالالام ~ ',neg
' @Sara_Aaziz مش عندك امتحان بكرة اقفلي و ذكري يلا ',neu
' @QPezYq3WDtyM6VY @mennty_ اتخصصي جراحه عشان اشغلكفي المستشفي بتاعتي ',pos
' تكريم أستاذنا رافت بك نجيب http://t.co/pHLpf3CxKU ',pos
اعتراف أنتسب لحمله #حازمون وفضلت أهاجم #مرسى_رئيسى بفكر حزب_الزور وانتقد #الإخوان فى كل الأمور أعتذر لك سيدى الرئيس ف #الشعب_يرد_تحية_الرئيس,neu
' حسبى الله ونعم الوكيل فى البلد الوسخة دى وفى اللى ماسكينها وعمرها ما هتنضف ابدا  اطهر ما فيكى بيموت ',neg
لا يجوز في مصر الثورة أن يُحرم الوطنيون الشرفاء أي من حقوقهم السياسية سواء بأحكام ظالمة في العهد البائد أو تحت دعاوي تحتاج لتوثيق,neu
' صوتك ده ايه الله عليه ملايكة بيغنوا ... ',pos
' العيون تحكي ما لا يُقال ',neu
' موجز #الصحف العربية http://t.co/yLrnTU84oZ ',neu
' https://t.co/vou0nYCgDS أصعب احساس في الدنيا.... ',neg
في ناس بنشوفها بالالوان وناس جواها مش بيبان وناس اسود وناس ابيض وناس محتاجه بس امان #صلاح_جاهين,neu
' @hobaasha غرد وقت الذروه ليتمكن اكبر عدد من المتابعين من مشاهدتها ماهو اربعه الفجر ماحد حولك ',neu
احد ضحايا الاخوان اصابوه برصاصة في قدمه ثم عذبوه ببشاعة داخل الجامع هو احمد ثابت عضو 6 ابريل وهو يعالج الان في مستشفى البترول بالإسكندرية,neg
كان سيصبح حظ مرسي أفضل في الحكم لو لم يكن قد اهتم بقراءة سيرة قائد جماعته حسن البنا، بقدر إهتمامه بقراءة سيرة نيلسون مانديلا,neu
يجب أن نبدأ حملة توعية لحث الناس على التصويت بكثرة لأن ذلك ف,pos
خطاب مرسي بداية جيدة نتمنى ان يكون ذلك بداية لتوحيد الصفوف ضد العسكر,pos
شكرا كلامك كان رائعا,pos
' اللهم صَلِّ و سلم و بارك على سيدنا محمد وعلى اله و صحبه    #قناة ابوظبي @ نهر النيل - القاهرة http://t.co/dipi2xebhR ',neu
اذاعت قناة الجزيرة الرئيسية ان شهداء الاتحادية ينتمون الى الاخوان شهداؤنا كلهم واحد ولكن هل الحسيني ابوضيف او كرم جرجيوس من الاخوان عيب,neg
كان الأولى أن يكتبوا على جميع حوائط المدينة: حافظوا على نظافة نفسيتكم,neu
' صبح.الورد.لكل.موجدين ',pos
مازالنا فى إنتظار الإعلان عن التحقيق مع الرؤوس الكبرى للنظام هل إقتصر الفساد على قيادات الصف الثانى؟!,neu
' نفسي فعربية ڤولڤو ',pos
ماتخفش محدش بيتحاسب، ارجع المصريين نسيوا الشهداء اللي ماتوا,neg
' @mohamed82682786 @aziz_nany حرب مصر على ارهاب بكرة هتدرس زى حرب اكتوبر ',neu
' #سنة_حلوة_ياشاهين كل سنه وانت طيب يا طيب http://t.co/2Hv96B0jfo ',pos
' الايام سودة في وشي من يومين مش عارف ليه .! ',neg
' @Nboush هكونا متاتا ايام البرائه ',pos
28 اجدع الجدعان #جيكا #جيكا ياولد الحريه بتتولد #محمد_محمود 2,pos
هناك فارق بين ان يكون المرشح يسعى لهذا المنصب ليلبى طموحا شخصيا لديه فى اعتلاء المناصب وبين أن يترشح لخدمة الوطن,neu
عايزه اعمل مجتمع ربعاوى بعيد عن الفلول و اللى عايزهم #فلول # شعب بلا اخلاق #ستحاسبووون,neg
' فى ناس ماشية بمبدأ انتا فى حالك واحنا برضوا فى حالك ',neg
' مسـا البرد ☁️☕️. @ Alley Mount Of Leban http://t.co/8fk0fUXo8s ',neg
"' ""\""""تشبه الحياة\"""" ديوان جديد للشاعرة أميرة الأدهم عن دار \""""ميريت\""""  #CBCtwo @CBCeXtra http://t.co/BqJyCcCkDq '",neu
ليس من الاسلام القتل والحرق واثارة الفزع والتعدي …,neg
' الا تستحق النفس بعد كل مرحلة تقطعها من الحياة أن نعيد النظر فيما أصابها من غنم أو غرم ؟ ',neu
تهنئة لكل طالب وطالبة قضوا ما يزيد عن 150 يوماً معتصمين وواجهوا كل انواع التنكيل #جامعة_النيل,pos
"' ""#الوطن   وزير الشباب: #السيسي اقترح الاستعانة بـ\""""الأولتراس\"""" لافتتاح #قناة_السويس http://t.co/W4qwOgvKwz '",neu
تدوينة رائعة من خالد بهي الدين ترد على أكاذيب نظام مبارك جماعة الإخوان الكذابين لن تسقط بترويج الأكاذيب عنها,neu
"' """"""يقول المثل #الكيني: إذا اتحد أفراد القطيع ، نام الأسد جائعاً  #دروس_عبر"""""""" '",neu
تصرفات القادة !! نعم لأردوغان مصر !,pos
' بحس بامان يملانى لو بنطق حروف اسمك ساعتها لو بموت ترجعلى روحى .  فى حاجة نفسى فيها ياما حلمت بيها تخدنى حبيبى فى حضنك ويقف الزمان #سميرة ',pos
شفت فيديو موتني من الضحك في قناة الحافظ المذيع بيقول بلال فضل كاتب القافلة تبكي والخرفان تسيرواخد بالك قصده إيه فالشيخ رد يقصد الإخوان طبعا,neu
تفاؤلى نابع من إيماني بأن (الله لا يضيع أجر من أحسن عملا)ولا يوجد أحسن وأعظم عملا من أن يضحي الشعب بدمائه من أجل الحفاظ على وطنه وعرضه,pos
"أن تكون علمانيا لا يعني أن تشتم #حسن_البنا وأن تحكم على كتب #سيد_قطب بانها ثرثرة وأن عبارة ""إني اتطبّب بالجوع ""للشيخ #ا…",neu
#عادل امام معاهم معاهم عليهم عليهم ‹☺›,neg
ألقاكم بعد ربع ساعة من الأن في برنامج (الحياة اليوم) على قناة الحياة، للحديث عن قضية الإساءة لرسولنا الكريم، صلى الله عليه وسلم,pos
' كلمه واحده .. يوم واحد .. تصرف واحد .. صدفه واحده .. ممكن تغيرك كتير ..!! ',neu
"كيف يتصور الإخوان أن هتاف (مرسي وراه رجالة) سيكون مجديا مع شعب لديه خبرة سلبية مع أتوبيسات النقل العام الزحمة؟ ليس منا من لم ""يوقر"" رئيسنا",neu
' كسبنا دمنهور متصدر لا تكلمني  المصري هيعملها مع انبي @ dreamerstours http://t.co/53NLYCepmW ',pos
' @ashgan_helwa رائعه ',pos
' للحين عندي هواية التفال من المرتفعات ',neu
' @nermine_gouda له لم يصل في المانشن ؟؟؟؟ ',neu
' @Ayman_Alatar صباااح الورد ',pos
' يا ملكه انا اشرف من الاردن ',neu
#غرد_بذكر_الله #اذكر_الله #حصن_المسلم,neg
' ولا في غيرو يفرحني  ❤️ #اللى_معاهم_آيفون_بيفولوا_بعض http://t.co/glhIaySMN9 ',pos
من أعظم نعم الله عليك أن يقضي حوائج الناس علي يديك فاكر آخر إنسان ساعدته؟,pos
الأسواني للرئيس: لا تظن أن الكذب يضركبالعكسالكذب اذا تكرر بكثافة سيؤدى الى تشويش أذهان الناس حتى المقال كاملاً >>,neu
على الخارجية المصرية تحمل مسئوليتها والعمل على الافراج الفورى عن الصحفية شيماء عادل المحتجزة فى السودان ،كرامة المصريين أهم من رغيف العيش,neu
#خلق_جميل عندما يفضح احد الاصدقاء اسرارك ولا تقوم انت بالمثل,pos
' لما تحس ان وجودك زى عدمه يبقى عدمه احسن .. ',neg
' @khokhafelefiluw صباح الفل والعسل والياسمين بقا ^^ ',pos
' @TheMurexDor نتمنى تكون الفنانة رنا سماحة من ضمن المرشحين بليززززز http://t.co/4OOXaqtNvH ',pos
"#اعتراف : غيابك المر شتت زاهي حضوري !""",neu
48670715 _ قلت وأكرر المجد لعاصري الليمون لأن وجودهم على رأس معارضي مرسي الآن هو ماينفي عنها تهم الفلولية,pos
' @munii321 احلا عملاقه ',pos
' مش كل واحد جمب مني عزيز عليا ولا كل غايب عن عنايا هقول بعيد في ناس ناسيهم قلبي وهما قصاد عنيا وناس مجرد افتكرها بكون سعيد.. #AmrDiab ',neu
لن تحقق الثورة أهدافها بصفقات مع القتلة,neg
' حيوان عجيب و غريب!!.. سبحان الله http://t.co/GUlgFom7RW ',neu
"هما شعب واحنا شعب, يحبون الرقص والنفاق والانحلال نحن نحب العلم والعمل والالتزام يوم امس كان فاصلا بين الشعبين",neu
أخي العزيز: إياك أن تتخيل إني لما أعملك بلوك يعني عدم إيماني بحرية الرأيبالعكس أنا بأميط الأذى عن طريقي وإماطة الأذى عن الطريق صدقة,neu
#مرسي_رئيسي,pos
بين فسيفساء التكفير والتفكير مساحة ليست بالواسعة المنبسطة ولا هي ارض قحط وعرة #مصر #لبنان #تونس #الأردن #الإمارات #السعودية #العراق #فلسطين,neu
أصدقائى لاتنظروا للوراء وإنسوا التجربة الاخوانية بما لها وعليها لنبدأ مرحلة جديدة لمصر بيد واحدة نبنى ونعمر والكل يشارك,neu
' ربنا يكفينا شر العﻻمه الصفرة :-D ',neg
جمهورية #شبرا_الخيمة :),pos
شاركونا على تويتر يا شباب #خلق_جميل تعالوا ننشر على الهاشتاج ده أخلاق نحب نراها فى مجتمعاتنا و يتخلق بها,pos
ستظل ذكرى استشهاد البطل عبد المنعم رياض تخليدا لملحمة مضيئة من أنصع صفحات التاريخ المصرى ورمزا لبطولات معركة الاستنزاف تحية له فى ذكراه,pos
محمد مرسي احترمك السيسي انت ظالم,neu
' خى مالها قفلت من كل حتة كده لييه ! ',neg
' البت اللي #واثقه من #نفسها مابترسمش #بالألوان علي #وشها!!!!  #حقيقة ',neu
' @aGad_ أن الله غفوراً رحيم ',neu
كفاية عندك التايملاين ولو لسه مش فاهم يبقى مش مشكلتي حتى الآن كل الردود اللي بتحاول اما سخافة او قلة أدب او محاولة من واحد مش فاهم لغة,neg
رحم الله شهداء الواجب الوطنى على حدودنا، وادعو لجنازة شعبية حاشدة ضد الارهاب والطائفية الدم المصرى حرام,neu
#انشر للفائده عشبه الجنسينج من اكثر الاعشاب فائده في تقويه الذاكره وزياده الاستيعاب والحفظ والتركيز يفضل استخدامها للطلاب ك…,pos
تفاؤلى بنجاح ثورتنا نابع من ايماني بأن ( الله لا يضيع أجر من أحسن عملا) ولا يوجد أحسن وأعظم عملا من أن يضحي الشعب,pos
' @alaghaarts9  الله يكثر من أمثالك ',pos
' اللهم لآ سهل إلا ماجعلته سهلا وأنت تجعل الحزن إن شئت سهلا.. وماتوفيقي إلا بك يالله. ... ',neu
"' """"""لا تعطي أحد أكثر من حقه ،\"""""""""""" '",neu
علشان الورد الي فتح في جنائن مصر مع باسم #ثورة_25_يناير #باسم_رئيسا_لمصر #انتخبوا_العرص,neu
' @Sokkaw القصة مسليه فشخ ',pos
' اتصل بنا واقض أجمل الأوقات في تركيا 00902125100660 00905385878555 فايبر واتسأب تانغو info@viparac.com ',neu
' فُقًدً ٌبُحَتّ بُكلُ أسّرًارًيّ .... كيّ يّتّسّعّ قًلُبُيّ لُسّرً هّؤٌااك ... http://t.co/ZxbbXUUYcQ ',pos
7 ها يا معلماظن حان الوقت للكشف عن التمويل و الحسابات و الاسرار،ماعدش فيه بعبع و لا دولة عميقة,neu
"صورة مرسى على المسجد الأقصى و أغنية السيسى على التلفزيون الإسرائيلى شتان الفارق""",neu
انا الآن اعاني من اقسى انواع الطفش #فكرة_جميلة يحطون غرفة نوم بالجامعة اروح اخذ غفوه بالبريك,neu
#الشروق | إصابة 10 جنود نتيجة إطلاق مجهولين النار على سيارتي أمن مركزي بالشرقية #,neg
' @ess_younis ارجوكم ادعموا محمد شاهين ولا تتركوه تائها بين السماء والارض ادعموه حتى يستطيع الوقوف على ارض ثابته ',pos
من أكبر أخطاء ناصر إعدام سيد قطب الفكر يتم مواجهته بالفكر، لا بالإعدام قتل صاحب الفكرة من أجل فكرته، يزيد هذه الفكرة ان,neg
براءة مبارك في قتل المتظاهرين كانت في جلسة 15 أبريل 2013 يعني في عز حكم الإخوان ولم يتم الإستئناف,neu
شهداء أسيوط فى جنة الخلد لن يضيع حقكم و لن نرهب من القتلة و الإرهابيينو يوم الحساب لقريب,neu
' واحد صاحبى فى طب : تعرف انا حلمى اشتغل نايت شفت واعمل جانج بانج مع الممرضات ',neu
#أسم_فيلم_بتحبه أسف على الإزعاج,pos
مرسى الذى فى خاطرى و فى دمى أحبه من كل روحى و دمى!!,pos
هواجس العام الجديد - ثانينا عن مسار الاحتجاج الشعبى والحالة الثورية - عمرو حمزاوي - بوابة الشروق,neg
الرياض #القصيم #واحد_فاضي #الهلال #السعودية #النصر #النصر_الهلال #البدائع #الزلفي #حفرالباطن #مكة #جدة [2635558],neg
"ودا قمة السفه في الصحافة !! ""الفن بعد ثورة 23 يوليو وبعد ثورة 25 يناير #مصر #الثورة """,neg
"#ذكريات_مدرسية #جيل_الثمانينات لن يفهما غير العباقرة "" كنت عامل بيه غسالة",neu
' ربنا يكون فى عون الناس بتاعت روسيا ',neu
انا هقولة شرعيتك حمرااااااا,neg
' نفسى ارجع اعيش يوم واحد من ايام زمان .. ',neg
طبعا لو كانت نفس المجلة قالت كلمتين حلوين عن مرسي كان زمان الإخوان مشيرينها في كل حتة وتكبييردلوقتي هيقولك مجلة صهيونية عفنة,neu
