tweet,class
مطلعين فرسه من صالة المطار قدامى ماذا الجمال هذا,pos
تنويه البرنامج عزيزي المشاهد لو فاكر ابنك مؤدب هيتخدش حياؤه من الألفاظ رجاء مراجعة المتصفح الخاص به فقط يا ريت,neu
جيه قلبك هذا فثانية علوني بينقلب,pos
طاقة إيجابية شبابية في تصوير اليوم الأول من أرب أيدول الموسم الثالث كان يوم رائع جدا انتظرونا قريبا,pos
لا هذا اسمه على اسم الغالي اسمه أحمد,pos
فريق دمنهور يستأنف استعداداته لمواجهة الزمالك بعد غد الاثنين تحت قيادة مديره الفني محمد عمر,neu
السلام عليكم تطبيق بوبيان ما ضبط معاي لأن الاكاونت تم إلغاؤه كيف أرده,neu
كسم امتحان أنها ردة,neg
ماعنديش شخصية يأست,neg
انتخاب مرسي بالقطع ليس سبة ولدى أصدقاء لا أشك في ثوريتهم انتخبوه لكني ببساطة لم انتخبه وقاطعت وإن كان هو الآن الرئيس الشرعي,neu
سبحان الله صار أقوى سلاح في يد أبو مازن يهدد به الإسرائيليين هو رحيله ومن معه من مقالي في المصري اليوم غدا,neu
تحية لبعثة مصر البارالمبية التي حققت إنجازا غير مسبوق وقدمت لنا درسا في تحدي المصاعب لرفع اسم مصر عاليا شكرا لكم وحمدا لله على سلامة عودتكم,pos
شمس الحرية بتنادي يا وطني يا وطني الغالي يلي خنوك وانتخبوا العرص ريتويت,neu
يسقط يسقط حكم العسكر ثورة يناير باسم رئيسا لمصر انتخبوا العرص,neu
اليوم السابع قلب نائب رئيس جامعة المنصورة الدواعي الأمنية سبب تقديم موعد الامتحانات,pos
الحل السياسي يهدف للبدء في بناء الاقتصاد ولا يعني التصالح مع من تورطوا في عنف السادة المحترمون,pos
اعترف بالمطالب المشروعة المتعلقة بحكومة إنقاذ وطني وتعديل الدستور وتقنين وضع جماعة الإخوان كإطار للحوار أقر بإلزامية نتائج الحوار,pos
البساطة والكلمة الطيبة وحب الناس لك هي هذه الحياة,pos
لو هذا جنان إتجنن لما تشوف واحد بيعاكس واحدة روح أعمل أخوها,neu
الله ينور عليك يا دكتور هو هذا التفكير الذي عايزينه غير كم مسجد وكم كنيسة,pos
فعلا ماحدش بيسلم من الخناقة كل يوم هه,neg
هتحبك لو احترمتها في وجودها أو غيابها,pos
الحب هو أن تشبع حبيبك اهتماما قبل إشباع رغباتك,pos
نحب اللغة العربية لأنها لغة القرآن ولأن نبينا عربي ولأنها لغة أهل الجنة اليوم العالمي للغة العربية غرد بصورة,pos
مفاجأة رد الشيخ حازم على فتوى برهامي الأخيرة فك الله أسرك يا إمام يا من علمتناكيف نحياكراما سنحيا كراما بإذن الله,pos
اعتراف أنا مبخفش من أي حاجة تتخيلها حقيقة آه والله,neu
عاملين ماذا يا حلوين واحشني من الصبح فقط كان عندي امتحان بقي,pos
ومن إمارات البلاهة الإخوانية الفرحة بالحديث عن ضعف المعارضة وغياب البديل السياسي مع أن ذلك يستدعي الخوف لأنه يعني انفجارا عشوائيا أخطر,neg
وإذا عبرتي أرض عشقي فسلمي واحتضني قصائدي التي ڪ تبتها من أجل ڪ,pos
كله بقا مثقف انتهى وأنتو أصلا عالم جهله,neg
إذا كان أنا بسمعة الوقتي على السويد,neu
هدير طلاب الجامعة يشكل فيضانا لن توقفه سدود الانقلاب الشرعية ستعود إن شاء الله,neu
التي شتموا وكفروبلال والاسباني الآن مثل العسل على قلبهم من أجل مع القرار والتي اتهموا البرادعي أنه عميل بيستشهدوا بيه ضد القرار عبث,neu
جمعة مباركة,pos
ومع ذلك سقطت بالأمس وإلى الأبد مقولة أن التيارات الديمقراطية لا شعبية لها وأن للإخوان ولحلفائهم احتكار الإرادة الشعبية وتوكيل الصناديق,neu
أكثر شيء يهمني معرفته هل هذا مشروع استقلال حقيقي ولا كارت مفاوضات في نفس التوكيل,neu
السيسي قال للأمريكان أن المصريين كانوا يساقون عنوة للمساجد,neg
على أد افاتارك هيكون الحك معك احترمي نفسك الأول ومحدش هيجي جنبك سامع صوت بيقول الافاتار حرية شخصية والحك أيضا حرية شخصية,neg
اللهم لا شماه عليكم فضايحكم ف كل مكان ف الخليج وف العالم كله يا بلد لوطي يا شعب عبيد,neg
هل تقرأ القرآن بعد رمضان هل تفهم معانيه وتفكر فيها هل نويت أن تختم القرآن بعد رمضان هل تعرف ثواب قراءة وتدبر,pos
إحا هو في تسريب آخر,neg
شرفت مصر يا قبطان هيا كام ريتوييت مينا عطا محمد شاهين,pos
ناس كثير قاعدة على تويتر تحس إنها ناس فاضية بتهريب وخلاص مرار طافح,neg
إبراهيم محلب هيدخل التاريخ وهايحل مشكلة سد النهضة وإبقو إفتكرو أن مدرستىدى لأسأل قدمت هدية لمصر من أحد خريجيها الناجحين,pos
أبو الفتوح أعمل مع مجموعة رائعة من شباب الثورة وأقول لهم أحب أن تقودوني للعمل وأن نعمل كفريق ومن يجرح أين,pos
اعتراف ما زلت أحب سيريلاك بالقمح,pos
إذا عارضت المرشد فأنت عند الإخوان فلول أو علماني عدو للدين ألا يمكن أن يكون الإنسان مسلما وثوريا ووطنيا ومعارضا لقرارات المرشد ممكن,neg
يا مرعبهم يا مدمرهم محمد صلاح ألعب يا صلاح,pos
كان محمد يسري سلامة صاحب رسالة كافح من أجلها طيلة حياته ولذلك فحتى موته كان بمثابة رسالة,pos
التشاؤم علامة العجز فنحن نصبح متشائمين عندما نشعر بعجزنا عن السيطرة,neu
بعد أن قال الإخوان أن مرسي متخصص في تصميم المحركات في ناسا أصبحت أعتقد أن كفاية بيتنا التي تفعل كل شيء إلا التدفئة موتورها من تصميم مرسي,neg
مع جورج إسحق في وفد المجلس القومي لحقوق الإنسان للمراقبة نتحرك في شرق وشمال القاهرة أدعو الجميع للمشاركة ومنع التجاوزات أن وجدت,neu
نحن شعب وأنتوا شعب على الحجار في رأيي هذا هو أحقر وأحط عمل فني في تاريخ مصر وحسب,neg
لا إله إلا الله العظيم الحليم لا إله إلا الله رب العرش العظيم لا إله إلا الله رب السماوات ورب الأرض ورب العرش الكريم,neu
قال شيخ الإسلام ابن تيمية رحمة الله القلوب الصادقة والأدعية الصالحة هي العسكر الذي لا يغلب,neu
بعد يناير كنا نظن بداية عهد جديد لكن الجديد لم يأت ولن يأت إذا استمر هذا الحال,neu
لا تنفر من شيء لأنهم قالوا لك عنه خطأ وإنما جربة بنفسك سر في الطين تتعلم كيف تحفظ توازنك مصطفى محمود,neu
ترتيب الأولويات,neu
ا ﻻ منجي عمرو أديب والمحامي ا ﻻ منجي خالد أبو بكر بيروجوا لغلق المحلات من مساء ورفضوا أن هشام قنديل يقفل المحلات,neu
كرستيانو رونالدو يفصله هدف ليصبح الهداف التاريخي الأول في ريال مدريد أسطورة,pos
بكل ما فيني أتمنى أعيش بمكان جديد وأعرف ناس جديدة,pos
بصراحة في العمر حكاية واحدة فقط نجد فيها وطن حقيقي وما دونها مسرحيات متعددة نؤدي دورنا فيها ببراعة,neu
قال الأستاذ علاء عبد الفتاح على الجزيرة بصراحة نحن نعرف أن خالد على لن يكسب ألم يكن الأفضل أن ندعم مرشحا ثوريا واحدا بدلا من تفتيت الأصوات,neu
تنمية الثقافة المتحفية للأطفال برعاية قطاع الفنون التشكيلية,neu
جرا ماذا يا كسمك,neg
فلتذهبوا إلى الجحيم الحرس الجامعي,neg
أنت بضان ياض,neg
إحسانك وتعاملك لا ينسى فلا تندم على لحظات أسعدت بها أحد حتى وإن لم يكن يستحق أترك أثرا جميلا في الحياة ل تستمر,pos
يعني حزين وبيتنرفز ومداايق يا ربي عا,neg
عاجبني الإيجابية الخايبة ملك الرفاق طيب خليك إيجابي ببعض حنكة سياسية أي منظر غير ستريبتيز مجاني هكذا مرار طافح ثورة,neg
الرسول الأكرم محمد صلى الله عليه وسلم سئل عن سبب صيام يوم الاثنين فقال يوم ولدت فيه فكان يعظم يوم ولادته بالصيام لله,neu
الأخت الفاضلة حسين فهمي صاحبة أشهر مواقف سياسية ترفض المصالحة مع الإخوان لأنهم قتلة حد يقول للامورة أم شعر دهبي لا داعي أنت يا حلوة,neu
في ف كتاب هكذا كانوا مشبهين الروتين ب الإنسان التي بيدخل النار كل يوم ويطلع منها يغير جلده ويدخل آخر دايما بقي متخيلين نحن بؤساء أد ماذا,neg
اا يا سلام روح أم النائب العام,neg
أثار تخريب كنيسة مار جرجس وحرق بيوت الأقباط بقرية دلجا بعد اعتداء الإخوان السادة المحترمون,neg
سمنود يبتعد وزفتى ودسوق حبايب وانتفاضة فرق القاع في ثامن القسم الثالث,neu
عارفين إحنا لماذا جيل مكتئب عشان عرفنا كل حاجة على حقيقتها بدري,neg
عن حد فاكر نفسه ناصح وهو أهبل من واحد عامل بالورد الفيس بوك بتاعه رقم موبايله,neg
بورك لك في المولود أدعو الله أن يجمع شمل الأسرة في بيتهم الطيب ويجعل من خالد نعم الابن لنعم الأبوين,pos
سلامة أحمد سلامة تركت إرثا من الأخلاق حين عزت ومن الحصافة حين اهتزت ومن الشجاعة حين كان لها ثمن يرحمك الله,pos
يا من سرق قلبي مني يا من غير لي حياتي يا من أحببته من كل قلبي يا من قادني إلى الخيال عشنا وشفنا الرياض,neu
خارطة الطريق تستلزم مشاركة وطنية بعيدة عن العنف السادة المحترمون,neu
ولا عارفة أحل شي أكلت هوا,neg
حمدين صباحي لو بقى رئيس سيوافق على قانون التظاهر وغلاء الأسعار والكهربا والغاز وبكره يشيلوا دعم السولار بطلوا فتى وانتكاسات بقى,neg
كيف عشرتنا تهون وأشواقنا تذبل والحيرة في وسط العيون عقب إلهنا تسأل تسأل تقول وين الكلام الذي قلناه وين الغرام الذي عشناه ي,neu
آخر ما كتبه شهيد اليوم بإذن الله عبد الرحمن أحمد هذه هي نوعية الشباب الذين يقتلهم السيسي حسبنا الله ونعم الوكيل,neg
حاول أعرف إسلامي من واحد مثلك عامل نفسه وصي على إيمان الخلق وتكبر عليهم باسمه ونعم الخلق,neg
البيان ذكر بالنص أثق في أخلاق الإخوان برفض هذه التصرفات من بعض أفرادهم,pos
عودك في مشيته عملوه منحنيات عظامك لينة لكن على التقنيات تنية واتنين تلاتة أربع خمس تنيات,pos
فريق الوعد إنصاف الإخوان,pos
بقول لك كنت موجود تقول لي قنوات مبارك انتهى هكذا غير هينفع أكمل معك الحوار هذا معذرة وربنا يهدينا جميعا للحق,neu
ماتعلمش من أداء جدة القديم الذي قرب من الحاكم واستفاد منه وفاد الناس بذكاء وما اتعاصش بدم على الأقل,neu
حين يقول لي أحبك ينزاح الظلام ويعم السلام ويغني لي الزهر,pos
في عالم موازي كان زمان زعتر هو الذي بيشيلنى ويدلعنى ويأكلنى وينيمنى جمبه بليل زعتر القط,pos
يعني غير كلنا فاضل هبة ونورهان وإيمي فقط تمام يعني هنشتغل على الهاشتاج ولا ماذا,neu
كرن ڤ ال دولي بحضور الملك مبروك ل الشباب بطل كأس الملك ول الشعب السعودي الشقيق ملعب الجوهرة نحبك يا ملكنا عبد الله,pos
تريد تنيك بناتك هكذا وتحس بلله بجد,neu
مسيرة أحرار وجدعان المعادي الآن حاميها حراميها مرسي رئيسي مكملين,neu
وقع بحبك على الأنثى ترانيم وتناغم موسيقى الطبيعة مع بعضها البعض فإن كان في استطاعتك يا أدم قولها لا تتردد فهي تحب أن تسمعها كل حين لومي,pos
يا ريت بني زيد كلها تباد حاج تعبنا,neg
الصلاة يا عباد الله,neu
الأسوانيلماذا تصر الولايات المتحدة على استمرارها في دعم مرسي للنهاية رغم قتله للمصريين وقمعه للتظاهرات,neg
عامة الأحلام بتساعد على الوقوف على أرض صلبة,pos
ندوة علاء الأسواني الليلة السابعة مساء بالمقطم التفاصيل,neg
السيسي أكثر المسؤولين المصريين في عهد مبارك والمجلس العسكري زيارة لإسرائيل ول يوم يقدم لهم القرابين حتى يرضواعنه فهو كنزهم إلا,neu
المفاصلة بين الشعوب العربية وطغاتها الفاشيين مثل الأسد والسيسي حرب وجود لا حدود فلا مجال فيها للحلول الوسط أو التلاقي ف,neg
تسريب مكتب السيسي ويبقى السؤال المهم لماذا لا نرى تسريبات لمرسى المتخابر مع أمريكا وحماس وتركيا وقطر,neu
الفرحة لما تفتكر حاجة تخليك فجأة تضحك لوحدك,pos
رئيس المجلس الأعلى للقضاء الحالي من رموز استقلال القضاء وقد صنع مشروعا عظيما مع المستشار أحمد مكي من أجل استقلال القضاء الواجب مساندته,pos
كيف يحشد الرئيس مرسي الجماهير لإسقاط الإعلان الدستوري فيهتفون يسقط حكم العسكر ثم يشيد الرئيس اليوم بالدور الرائع للمجلس العسكر يتناقض مؤسف,neg
لتوريد الموارد البشرية لدولة الخليج من السنين ذو تعليم عالي شركة الزاويدى لسياحة,neu
صدور قانون تشكيل الأحزاب دون أي حوار ونفس الحال بالنسبة لقانون مباشرة الحياة السياسية يقلص مضمون أي حوار وطني ويفقده جانب كبير من مصداقيته,neg
صورة تجمع الساخر العظيم محمود السعدني والأخ الأصغر الفنان صلاح السعدني,pos
هه معذرة أنا هخلكى تكلمي مثل الحمار هكذا وزي الغلة لي بتشجعها غير هرد عليك من أجل أنت محروق دمك يعني هه,neg
علم ابنك القرآن وسوف يعلمه القرآن كل شي علموا أولادكم علم,pos
وائل كفوري يتصدر للأسبوع السادس على التوالي ويحتل المرتبة الأولى,neu
ياسر أبو عمار في سياسة في دين على الجزيرة غيرت موقفي من حزب النور بسبب مواقفه المخزية مع الرئيس محمد مرسي,neu
أنت الوحيد الذي قلبي يبتسم لحكيك من جماله,pos
حد يسأل سيسي لما قال بكرة تشوفوا مصر يمكن قصده أن نحن هنبقى شحاتين ونبقي فرجة والدنيا تضحك علينا,neg
لو فضلت مع الناس والعادات والتقاليد والهبل هذا حياتك هتنتهي قبل ما تبتدي,neg
مايغركيش العدد والله أنا أكثر أنا الذي غير إخوان وأنا الذي غير عسكر,neu
يارب,pos
أحسن من الدعارة أيضا لمو بنتكم منع الرجالة الأول وبعدين اتكلموا نحن أشرف ناس,neg
لو حتى بيقدرك هيعرف أنك متضايق غير لازم يكلمك من أجل يعرف,neu
نادت بك الرسل الكرام فبشرت وملائك الرحمن خلفك سجدا لا يحصى فضلك ناثر أو كاتب عددا ولا الشعراء يا غوث الندى سيدنا النبي,pos
المصري الحقيقي كالهرم الشامخ رفقته شرف والتواصل معه حق ونسيانه محال والدعاء له واجبك عام وأنتم بخير ومصر طيبة وحرة آمنة,pos
أنا بتقطع من جوايا ونسيت طعم الفرح,neg
عسكر كاذبون يناير القادم يشهد توحد القوى الثورية قوتنا في وحدتنا أبريل إخوان ليبرالي يساري حازمون,neu
لماذا نتمسك بانتخابات تحت إشراف دولي أقرأ المقال كاملا,neu
يا ترى ماذا التي بيشدنا هكذا في مصر رغم كل المشاكل إلى حواليها هذه خفة دم شعبنا طيبته شهامته النيل والشمس غير عارفرغم المنغصات,pos
وأنت مالك,neg
حساب جمعية المستودع الخيري بالمدينة المنورة,neu
مرة أخرى ولكي لا نحبط انتخاب رئيس بالإعلان الدستوري المبتسر يحمل معه بذرة الخلاف بين السلطات دستور ديمقراطي جديد هو مفتاح مصر المستقبل,neu
السعادة أنت بذاتها والفرحة عيونك,pos
يعني آجي الكلية صدفة اكتشف أن عندي امتحان علومجي أشوفها والعة,neg
الأهلي أسلوب حياة,pos
أريد أن اشخر لكن أخشى عليكم من الضجيج الكورة للجماهير رجعوا الجماهير يا ولاد ال,neu
غالبا استقرار في البيت,neu
ولاد البلد المنصورة مصراوي أهالي المطرية يتضررون من غرق شارع مدرسة النصر ورعاية الأمومة بمياه الصرف الصحي,neu
حقيقة خامة صوت آخرين غير حليم وإمكاناتهم درجة أولى لكنهم بالجهل والكسل حولوها إلى درجة ثانية درس عظيم لمن يتفكرون,neu
حلاوتك وأنت عامل نفسك ذكر وراجل أمام أمك وبتبقى مرمطون وشخشخية ف أيد البنت بتاعتك استرجع,neg
أحببتك مرغما ليس لأنك الأجمل بل لأنك الأعمق فعاشق الجمال في العادة أحمق,pos
يوم الجمعة هو أحب الأيام للمصريين الأحرار يلتقون معا في الشوارع بلا موعد ولا ترتيبات يهتفون للحرية وللشرعية ولخير مصر وسقوط الانقلاب,neu
الله يسامحك مابي ادعى بلحظة غضب,neg
ألف مبروك الفوز لكن الآن كم ترتيب ونقاط الوطني,pos
اتفرج فيديو الطب الشرعي يكشف الستار عن عدد حالات الانتحار في مصر شاهد الفيديو,neu
أين الحاجات هذه,neu
المصدر السيسي يلتقي الرئيس الصومالي بقصر الاتحادية للتفاصيل,neu
كانت أين الروح الحلوة هذه أيام زمان نص مليون فرق في الفولورز فعلا بيغيروا الإنسان متشكرين يا مبهج الجماهير,pos
أمي ولك في هذا اليوم دعوة حفظك الله من كل سوء يا جنتي حفظ الله أمي وأمهاتكم وجميع أمهات المسلمين عيد الأم,pos
تحيا مصر Ä سأنتخب السيسي,neu
أوقف حاجز ظهر البيدر و ر نيجيري بجرم ترويج عملة مزيفة قوى الأمن لبنان,neu
الاعتداء الهمجي على المحامين في قسم مدينة نصر يحتاج إلى تدخل حاسم من الرئيس مرسي الذي تعهد بالحفاظ على كرامة المصريينأيها الرئيس نفذ تعهدك,neu
ربنا يرحمك يا يوسف أتمنى ربنا يكبلنا أن الدوري هذا بتاعك يا رب,pos
تعالى على زوبرى يا شرموطة,neg
خالد مشعل يشارك بمؤتمر حزب العدالة والتنمية في قونية تركيا وسط هتافات حماس نفديك بأرواحنا فلتسقط إسرائيل,neu
المجد لله ثم لك أنت يا شهيد جيكا سيد وزه,pos
الراتب ما يكفي الحاجة الاتحاد الهلال النصر الأهلي مرسي,pos
لما أشدت بدور شباب الإخوان في الميدان وأعلنت أني سأنتخب مرسي كنت كاتب حر وطني منصف بمجرد ما أعترض على رئيسهم وقادتهم يبقى فيا العبرإخ وأن,neu
تعبت بقى يا ربي يومين غير بنام بسبب حتة لوجو هذا أنت ولا منك رسمه ولا منك كتابة أصلا يا لوجو يا معفن,neg
أنت كإخوان عايزني أصدق فعلا أنك مؤمن بالتسامح والتنوع طب عيني عينك في تصريحات وجدي غنيم وشيوخ الطائفية التي طلعتوه منصة دعم الرئيس,neu
الفاطمية نسبة إلى فاطمة الزهراء كما يدعون ولكن ذهب كثير من المؤرخين أنهم لا يمتوا لل البيت بصلة بل هم أبناء ميمون القداح,neu
الحب مسامحة,pos
يا حبيبتي يا توتا طيب عاوزه حاجة بقى أنا عندي مشوار هه شيرين يحيى,neu
وأمريكا أس الفساد في الأرض لا ننساها,neg
مثل ما كتبت لما شعر السلفيين بغدر الإخوان وأنهم بيستخدموهم وسيلة ضغط ليس إلا وطلع نادر بكار ينتقدهم بدأوا يشتمون ويقولوا عليه طامع في السلطة,neg
هي الايموشنز التي هي بيعيط من الضحك والقلوب الخضرا والحمرا والحاجات هذه بتنزل للبروز أنا عارف أنه غير وقته فقط قشطة يعني,neu
لله الحمد تجوزنا محب ومتابع لصفحة الأقصى متى نصل ل آلاف محب ومتابع تغريدات الدكتور عوض القرني,pos
الذي نحبه ميحبنااش والتي يحبنا منحبوش,neu
بقيت بتخنق من أي حاجة صغيرة,neg
طول بالك لا تستعجل,pos
مع احترامي لأنصار شفيق أرجو أن يتفهموا أن زعيمهم لم يكن اختيارا ممكنا لكل من اشترك في الثورة لا يمكن لمن ثار ضد مبارك أن ينتخب مبارك آخر,neu
بخصوص قرار المحكمة على برشلونة اليوم للأسف فرانكو ميت,neg
صباح حنون وهادي بصوت ماهر زين على كل فولورى الحلوين سمكة بتصبح,pos
ابعتيلي الرابط,neu
ما أوحشك يا دنيا,neg
وأنت طيب يا شاعر يا رائع,pos
أغلقوا معبر رفح واليوم أغلقوا معبر السلوم فاضل يقفلوا مطار القاهرة ويقفلوا البلد عالرايح والجاي خربوا البلد وبرضو غير عارفين يحكموها,neu
إشاعة مثل غيرها ما هو موسم شكرا على السؤال عمرو,pos
ف مصر شخصية مريبة متعرفش بيشتغل لحساب من بالضبط أسمو نجيب ساويرس بيعمل قناة لجاسوس اسمه يسري فودة ليستضيف عميل برخصة إس,neg
يصير يصير غير يقولوا إنه الأموات يسمعوا فينا,neu
هل عمرك قابلت حد بيفهم وفي نفس الوقت بيدعم المتأسلمين عن قناعة وليس للمصلحة,neg
لابد من الإسراع بنقل الوعي الانتخابي للمواطنين الكثير من الناس لا يعلمون القواعد للانتخابات وكيفية اختيار القائمة الحزبية والفردي,neg
سيبك أنت فقط السيسي راتبهم انتخبوا البرص,neg
سنة سعيدة عليك وعلى كل حبايبك ويا رب في كل يوم فيها تفرحي وتحققي حلم من أحلامك,pos
وزير الغلابة باسم عودة معتقل ف سجون العسكر ل أفضل منتج لأكرم شعب أنا غير رقم انتفاضة السجون,pos
هننضف لو بطلنا تحرش,neg
المناخ معاناة تتواصل رغم المحاولات,neg
الفيديو ملك وجدي غنيم ريحته فسس,neg
اللهم تقبل منا جميعا وكل من قال أمين منشن لمن تحب وقل آمينقلب,pos
أنت بره غزة ما دحشك في الضيعة الضايعة,neg
من يحبك حقا لن يجرؤ على مرور الوقت بدونك س يحن س يشتاق س يتألم س يصنع المستحيل ليحادثك,pos
التواصل بيننا على توتير هذا نوع من المودة والرحمة و ﻻ زم نسأل على بعض ونطمئن على بعض يا ريت ا ﻻ خ ﻻ ق الكريمة تسود بين الناس,pos
ماضون,neg
باسم يوسف البرنامج,pos
الشروق غدا محافظ الغربية يفتتح المعرض السنوي للأنشطة التربوية يفتتح اللواء محمد نعيم محافظ الغرب مصر,neg
قيل لابن مسعود رضي الله عنه هلك من لم يأمر بالمعروف ولم ينه عن المنكر فقال بل هلك من لم يعرف قلبه المعروف وينكرقلبه المنكر الأولياء,neu
قسما بربي لو رأيتك أمامي لجعلتك جثة هامدة تأكل منها الكلاب,neg
لا أحد حاسس بحد كله بيقول هيا نفسي,neg
إن شاء الله العملية تتم على خير وتقوم بالسلامة وتبقى مثل الأول وأحسن أيضا ويباركلكو فيها,pos
السنة مبلشة ثقيلة البدوي أشرفية,neg
زبيدة ثروت مزز ما قبل البلاستيك,pos
السؤال الذي محيى بخصوص الإعدام للجميع هذه هي كانت أين أحكامك الناجزة بالإعدام للمخلوع مبارك وعصابته والذي كان الشعب,neu
الجيش الباكستاني يعلن مقتل مسلحا في غارات شنتها الطائرات الحربية,neu
أحيي الذين سيخرجون اليوم معلنين رفض الانقلاب فسكوت الشعب استقرار لحكم العسكر الباطل مصر,neu
آه تمام نحمد الله,neu
اعتصموا في رابعة الجيش والشرطة حرقوها قالوا سنعتصم الجمعة أغسطس في سفينكس العصابة سبقتهم لسفينكس والجيش والشرطة حرقوها,neg
الوطن متحول جنسيا من ولد إلى بنت يتراجع عن إجراء العملية بعد خضوعه لجلسات العلاج النفسي ملف,neu
أشد مراحل النضوج العقلي إيقانك التام بأن كل شيء له نهاية مهما كان سيئا أو جميلا بحياتك,neu
ﺍ ﻷ ﺷ ﻴ ﺎ ﺀ ﺍ ﻟ ﻤ ﺴ ﺘ ﻮ ﺩ ﻋ ﺔ ﻟ ﺮ ﺏ ﺍ ﻟ ﺴ ﻤ ﺎ ﺀ ﻻ ﺗ ﺒ ﺘ ﺮ ﺃ ﺑ ﺪ ﺍ ﺳ ﺘ ﻬ ﻄ ﻞ ﻋ ﻠ ﻴ ﻚ ﻏ ﻴ ﺜ ﺎ ﻣ ﺮ ﻭ ﻳ ﺎ ﻣ ﺎ ﺩ ﺍ ﻡ ﻟ ﻬ ﺎ ﺭ ﺏ ﻛ ﺮ ﻳ ﻢ ﻗ ﺮ ﻳ ﺐ ﻣ ﺠ ﻴ ﺐ,neu
اللهم أنا نسألك موجبات رحمتك وعزائم مغفرتك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار,neu
قتل المصريين في ليبيا ماهوا إلا تصفية حساب وانتقام من مصر البلد الزي لم يقدر الإرهاب بلعب بهي,neu
التي اختشوا انشقوا لذلك لا أراهن إطلاقا على ضمائر المنتمين للإخوان لأن طاعة السمع والطاعة قتلتها أراهن فقط على البشر التي سيكتشفوا الكذب,neu
نحن الآن ف نهاية السنة ونتمنى من الله أن تكون سنة سنة خير وحب وأمن واستقرار وتحسن ف جميع الأحوال يارب,pos
إني أسقط أسقط أسقط,neg
الميدان للجميع حقا ولكن الآن فيه ناس معتصمة وإعلان مظاهرة مناهضة في نفس المكان موقف من الحكمة اجتنابه لأنه يذكرنا بمعركة الجمل,neu
لقب برنس الأسبوع يذهب إلى محمد يسري سلامة,pos
ابتسامتك سعيد خلق جميل,pos
لا قتل الناس في بورسعيد برصاص الشرطة ولا تعذيب المعتقلين ولا إلغاء القانون لصالح مرسي في الإعلان الدستوري لا شيء أقلق أمريكا مثل محاكمة مرسي,neg
البنزين بيغلي والشعب هيوسع إحا يا حكومة,neg
فيفي عبده الأم المثالية زمن المؤخرات هزها وأكسب عزها,neu
مبسوط,pos
الوطن تي في قلب توفيق عكاشة شلبية الفلاحة أحسن من هيفاء لأنها طرية غير ناشفة,neu
كل من يظن أنه ربما يكون مرصود الحيطة والحذر وعدم المبيت في المنزل اليوم شارك أنشر حذر,neg
لما أشوفك,neu
باسم يوسف لذيذ,pos
إذا أقنعت شابا بالكذب بأنه يجاهد في سبيل الله ثم أعطيته مسدسا وجعلته يطلق النار على ضابط شرطة فقام بقتله ستكون أنت من قتلت الشاب مع الضابط,neg
هاهاهاهاهاها,pos
هذا وليس مؤتمر شعبي هذا جولة ميدانية,neu
ورغم أن الكلام أصلا بينقص حاجة كل ما زاد ورغم أني جدع وتقيل وعمري ما أقولها بالساهل من زمان جدا محمد محسن,neu
أثبت مكانك يا سيسي لا لأمريكا ومشروعها الإخواني الفاشل,neu
الثورة والانتخابات قدمتا لنا عربة مجهزة لننطلق بها كلما أردنا الانطلاق يدوسون على فرامل التمسك باللوائح الشكلية فيعلو الصوت ولا حركة حقيقية,neu
لا تنس يا دكتور مرسي أنك طلبت من الناس أن تقومك إذا رأت فيك إعوجاجاالشعار دخل مرحلة التطبيق أمام قصركإقرأ الواقع جيدا ولا تقامر بالوطن,neu
كيف على تويتر لقينا حزب عدل وقلنا يع لما يبقى لك جبهة قوية ماشي غير هكذا تتفاوض,neu
الورقة التي لم تسقط في فصل الخريف خائنة في عيون أخواتها وفيه في عين الشجرة متمردة في عيون,neu
حبك ليا غالي عليا أحسه بقلبي وأشوفه بعيني حبك ليا بيطمني بيعيشنى أحلى سنيني قلب,pos
لماذا يخاف الإسلاميون من الانتخابات المبكرة إذا كانوا مطمئنين إلى قوتهم في الشارعمصر تستحق فرصة ثانية أقول قولي هذا واستغفر الله لي ولكم,neu
شفتك تنقط خرى يامونسة,neg
هتاخد زمنها وزمن غيرها,neg
يوسف الحسيني يفضح كذب قناة الجزيرة ويكشف تمثيل الإخوان دور الموتى تحت إشراف الجزيرة,neg
الحتة ملك تستبيح خداعي هذه دايما بأشوف فيها صورة واحدة بشراب شبيكة وسيجارة بمبسم وميك آب تقيل وغمازة عيرة وأنت فاهم بقى,neu
رحم الله الحاضر الغائب أيقونة النضال الفلسطيني محمود درويش تحية ودعاء في ذكراه,pos
من التي قال الدنيا ديه وصية فيها عبيد مجيد وفيها السيد سوانا رب الناس سواسية,neu
null حاجة اسمها عيب في حاجة اسمها حرام الخوف بيكون من ربنا غير,neu
وجودكم يا شباب وغيرتكم على بلدكم على اختلاف أفكاركم يملئني بالتفاؤل,pos
انقطاع الكهرباء كانت الوجبة الرئيسية لبرامج العار على قنوات الفساد في زمن مرسي الانقطاع تفاقم أكثر والإعلام صمت القبور,neg
تسريبات تخلو من الفبركات مهما حاولوا أن يطمسوا أو يدعوا أو يخدعوا فلن يصدقهم إلا من أصبح يهودي ويستحب الخداع,neg
